GeneID,Gene,Importance
1524,CX3CR1,0.01999090553564448
53829,P2RY13,0.018969997901706014
407975,MIR17HG,0.01677584722688876
91703,ACY3,0.015497537963497947
6404,SELPLG,0.015399449679743172
10170,DHRS9,0.014741854643173386
102724850,CCL3-AS1,0.012642811649673388
3552,IL1A,0.012080375799488584
100616259,MIR378I,0.011471044694482221
120939,TMEM52B,0.011345455873848543
165904,XIRP1,0.011278338675403198
101929497,LINC02712,0.011079060362900064
107075116,MIR3142HG,0.010953107657945957
64805,P2RY12,0.010062377797595824
115650,TNFRSF13C,0.009629038421429703
9023,CH25H,0.009432943714187196
6348,CCL3,0.009138111489822343
105373004,SYN3-AS1,0.008813636868309603
102724104,LOC102724104,0.008549161750223027
84002,B3GNT5,0.007680744930915293
3553,IL1B,0.0075124011782199
11006,LILRB4,0.007363948969170949
102724130,LINC02564,0.007108290745787749
4570,TRNN,0.006930441574582735
5742,PTGS1,0.006660090483884051
9560,CCL4L2,0.0065885676393833935
101928429,MAP3K5-AS2,0.00649454273106126
203328,SUSD3,0.006491246746057141
4973,OLR1,0.006290955839063191
8771,TNFRSF6B,0.0060770212381626885
7124,TNF,0.005490729807677142
6351,CCL4,0.005313455847139352
2702,GJA5,0.0053039810975413475
2150,F2RL1,0.005275729236570328
338773,TMEM119,0.004961899522611905
28231,SLCO4A1,0.004558184527594841
10871,CD300C,0.004543012191063994
107986088,LOC107986088,0.00445823730642357
1959,EGR2,0.004355043963294742
653,BMP5,0.004308460377714458
8832,CD84,0.004256980514369026
105376412,LOC105376412,0.004169629999005928
285834,HCG22,0.004162479340684472
105376388,LINC02642,0.0041606605701356245
101927532,LINC01736,0.004049652512737769
3687,ITGAX,0.003908588823846165
54209,TREM2,0.003514824094516268
219972,MPEG1,0.0035027075522933784
944,TNFSF8,0.003502313376172242
2819,GPD1,0.0034481974581343274
102723376,LOC102723376,0.0034449522507405323
440482,ANKRD20A5P,0.003339987908105524
105375097,LOC105375097,0.0033285490743005523
105369667,LOC105369667,0.0033284158441796974
2354,FOSB,0.003326887066641888
51284,TLR7,0.0033106310770653143
1958,EGR1,0.0032403331906640316
105376380,LOC105376380,0.0032235763237425624
7262,PHLDA2,0.003095900937356554
6590,SLPI,0.003080254995591266
359822,KCNIP4-IT1,0.00307426693855223
406934,MIR142,0.003064653502794382
719,C3AR1,0.003053405572755418
112268323,LOC112268323,0.0030336337707365857
107986103,LOC107986103,0.002943206235546595
2255,FGF10,0.0028771685630192972
105378747,LOC105378747,0.002876510701322164
105372974,SEZ6L-AS1,0.0028536903690369038
3394,IRF8,0.002790722823567731
92196,DAPL1,0.0027676756087224286
497189,TIFAB,0.00274233776762804
3059,HCLS1,0.002698221863002627
1230,CCR1,0.002693970640887933
107983985,LOC107983985,0.0026552083166301913
10863,ADAM28,0.002641677070932899
102724623,LINC01414,0.002620180715599737
942,CD86,0.0025794125874125866
406886,MIRLET7D,0.002509793122198929
100127888,SLCO4A1-AS1,0.002500120877132651
105369704,LOC105369704,0.002496984265734266
4317,MMP8,0.002477930806330821
5008,OSM,0.002443489169779118
107985074,LOC107985074,0.0024139670840199823
81704,DOCK8,0.0024071736387689864
6424,SFRP4,0.002391724176200226
